procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58571616 165636 3308852    0    0     0   240 9185 14566  0  0 99  0  0
 0  0      0 58571116 165660 3308828    0    0     0   108 8951 13959  1  0 99  0  0
 0  0      0 58575348 165660 3308856    0    0     0     0 7436 11347  1  0 99  0  0
 0  0      0 58570360 165724 3308816    0    0     0   132 13520 22670  1  1 98  0  0
 0  0      0 58575096 165748 3308856    0    0     0   108 7216 10827  1  0 99  0  0
 0  0      0 58574840 165748 3308856    0    0     0     4 6634 9994  1  0 99  0  0
 0  0      0 58570360 165772 3308852    0    0     0    60 9100 14063  1  0 99  0  0
 0  0      0 58570616 165796 3308852    0    0     0    56 9367 14977  1  0 99  0  0
 0  0      0 58575096 165844 3308828    0    0     0   100 9936 16050  1  1 99  0  0
 0  0      0 58574592 165844 3308852    0    0     0    12 7646 11552  1  0 99  0  0
 0  0      0 58574592 165868 3308852    0    0     0    52 11378 19121  1  1 99  0  0
 0  0      0 58570368 165908 3308812    0    0     0    96 11451 18536  1  0 99  0  0
 1  0      0 58569860 165932 3308852    0    0     0    56 8655 13109  1  0 99  0  0
 1  0      0 58569356 165948 3308836    0    0     0    36 11314 18604  1  1 99  0  0
 0  0      0 58573580 165948 3308852    0    0     0     0 8498 13533  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58573836 165972 3308852    0    0     0    64 9603 15404  1  0 99  0  0
 0  0      0 58569100 165996 3308852    0    0     0    56 13938 23927  1  1 99  0  0
 0  0      0 58573580 165996 3308852    0    0     0     4 7089 10516  1  0 99  0  0
 0  0      0 58569360 166044 3308832    0    0     0   104 11883 19984  1  1 99  0  0
 0  0      0 58569104 166044 3308856    0    0     0     0 8009 12343  1  0 99  0  0
 0  0      0 58573072 166084 3308816    0    0     0    84 11959 19889  1  1 99  0  0
 0  0      0 58568848 166108 3308856    0    0     0    68 8775 13637  1  0 99  0  0
 2  0      0 58573332 166108 3308856    0    0     0     0 7253 10672  1  0 99  0  0
 0  0      0 58572572 166132 3308856    0    0     0    68 14415 24881  1  1 98  0  0
 0  0      0 58568348 166156 3308840    0    0     0    52 9376 15171  1  0 99  0  0
 0  0      0 58572572 166180 3308832    0    0     0    52 9576 15566  1  0 99  0  0
 0  0      0 58572572 166196 3308856    0    0     0    64 9973 16381  0  0 99  0  0
 0  0      0 58568348 166220 3308856    0    0     0    52 10087 16204  1  0 99  0  0
 0  0      0 58572828 166220 3308856    0    0     0     4 7519 11792  1  0 99  0  0
 0  0      0 58572320 166244 3308856    0    0     0    68 9131 14174  1  0 99  0  0
 0  0      0 58568096 166260 3308844    0    0     0    36 13298 22695  1  1 99  0  0
 1  0      0 58570300 166284 3308836    0    0     0   120 7397 11216  1  0 99  0  0
 0  0      0 58570304 166332 3308860    0    0     0   308 20045 35778  1  1 98  0  0
 0  0      0 58565824 166332 3308860    0    0     0     0 9608 15701  1  0 99  0  0
 0  0      0 58570188 166356 3308860    0    0     0    56 12347 21271  1  1 99  0  0
 0  0      0 58574412 166356 3308860    0    0     0     0 14664 25601  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58569936 166380 3308872    0    0     0   216 9150 14709  1  0 99  0  0
 0  0      0 58569936 166404 3308848    0    0     0    88 10470 17278  1  0 99  0  0
 0  0      0 58574160 166404 3308872    0    0     0     0 8682 14082  1  1 99  0  0
 0  0      0 58570192 166428 3308848    0    0     0    68 6958 10216  1  0 99  0  0
 0  0      0 58569936 166444 3308872    0    0     0    36 13717 23425  1  1 99  0  0
 1  0      0 58569936 166460 3308856    0    0     0    44 9213 14647  1  0 99  0  0
 0  0      0 58569936 166508 3308872    0    0     0   104 11593 19440  1  0 99  0  0
 0  0      0 58569680 166532 3308872    0    0     0    72 6065 8447  0  0 99  0  0
 0  0      0 58574160 166532 3308872    0    0     0    20 6586 9598  1  0 99  0  0
 0  0      0 58569428 166548 3308872    0    0     0    40 10430 16951  1  0 99  0  0
 0  0      0 58574164 166572 3308852    0    0     0    60 17795 31648  1  1 99  0  0
 1  0      0 58573660 166612 3308880    0    0     0    88 9269 14370  1  0 99  0  0
 0  0      0 58567412 166636 3308880    0    0     0    52 10544 17284  1  1 99  0  0
 0  0      0 58572148 166636 3308880    0    0     0     0 8320 13251  1  0 99  0  0
 0  0      0 58567668 166684 3308880    0    0     0   116 15037 25786  1  1 99  0  0
 0  0      0 58567412 166684 3308880    0    0     0     8 10597 17382  1  1 99  0  0
 0  0      0 58571644 166756 3308884    0    0     0   184 16677 28771  2  2 96  0  0
 0  0      0 58567164 166756 3308888    0    0     0     0 8212 12912  0  0 99  0  0
 0  0      0 58566912 166780 3308864    0    0     0    68 9814 15772  1  0 99  0  0
 0  0      0 58566912 166804 3308892    0    0     0    52 14848 25576  1  1 98  0  0
 0  0      0 58566912 166820 3308892    0    0     0    80 9446 15062  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58566912 166844 3308892    0    0     0    60 11968 20069  1  1 99  0  0
 0  0      0 58566912 166844 3308892    0    0     0     0 7259 11261  0  0 99  0  0
 0  0      0 58567168 166868 3308892    0    0     0    52 9749 15854  1  1 99  0  0
 0  0      0 58567168 166892 3308868    0    0     0    52 11904 19785  1  1 99  0  0
 0  0      0 58566912 166916 3308896    0    0     0    52 10520 16996  1  0 99  0  0
 0  0      0 58566912 166964 3308876    0    0     0   140 14454 24655  0  1 99  0  0
 0  0      0 58566912 166964 3308900    0    0     0     0 9699 15602  0  0 99  0  0
 0  0      0 58566912 166988 3308876    0    0     0    52 10959 17620  1  0 99  0  0
 0  0      0 58565900 167012 3308900    0    0     0    52 13771 23465  1  1 99  0  0
 0  0      0 58566156 167036 3308900    0    0     0    52 11624 19073  1  1 99  0  0
 0  0      0 58566284 167076 3308884    0    0     0   116 10315 16736  1  1 99  0  0
 0  0      0 58561048 167076 3308900    0    0     0     0 8619 13632  1  0 99  0  0
 1  0      0 58561304 167092 3308900    0    0     0    40 11647 19482  1  1 99  0  0
 0  0      0 58565784 167116 3308900    0    0     0    52 9258 14947  1  0 99  0  0
 0  0      0 58561304 167164 3308904    0    0     0   100 10887 17659  1  0 99  0  0
 0  0      0 58561048 167188 3308904    0    0     0    56 10074 16626  0  1 99  0  0
 0  0      0 58565528 167188 3308904    0    0     0     8 6406 9946  0  0 99  0  0
 0  0      0 58561048 167204 3308888    0    0     0    56 7206 10701  1  0 99  0  0
 0  0      0 58563096 167204 3308904    0    0     0     0 11517 19163  1  1 99  0  0
 0  0      0 58567576 167252 3308880    0    0     0   100 21012 37945  1  1 98  0  0
 0  0      0 58563352 167252 3308904    0    0     0     4 6701 10652  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58563352 167252 3308900    0    0     0     0 7110 10777  1  0 99  0  0
 0  0      0 58563100 167276 3308876    0    0     0    60 13552 22810  1  1 99  0  0
 0  0      0 58563100 167300 3308876    0    0     0    56 11587 19179  1  0 99  0  0
 0  0      0 58572816 167348 3308880    0    0     0   116 20095 36263  1  1 99  0  0
 0  0      0 58572816 167348 3308904    0    0     0     4 7117 11411  0  0 99  0  0
